fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240506 005034	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.295064924689884	0.561264642541773	1240	1767	11730	54611379.3103448	1
20240506 005351	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	352	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.184814945751774	0.773379242266035	1316	1270	11133	54996142.4287856	2
20240506 005655	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	246	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.345038838606404	0.618756955350155	408	1626	12969	54903074.9625187	3
20240506 005902	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	67	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.241761071970553	0.833337324044938	1671	1102	10418	56752836.5817091	4
20240506 010124	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	90	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.140469310304352	0.64143108869732	683	1016	10004	58806590.7046477	5
20240506 010308	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.358648672881722	0.668072957908543	165	661	11195	57153410.7946027	6
20240506 010452	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	53	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.28420388922067	0.812126922164438	919	1919	12795	56993170.9145427	7
20240506 010744	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	148	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.111649901110954	0.895146414425795	573	783	11059	59501260.8695652	8
20240506 011051	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	238	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.403233043000067	0.678153775430048	1495	877	12720	53818770.6146927	9
20240506 011412	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	149	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.437523988073224	0.541667160855553	868	268	12361	50579908.5457271	10
20240506 012143	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1338	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0364576580927109	0.713877065197199	269	1297	14143	58309110.9445277	11
20240506 012408	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	176	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.496104054743981	0.860443759441213	1994	536	11136	52097487.2563718	12
20240506 012921	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	205	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0468018012931337	0.509080354133321	1088	344	13454	59148584.7076462	13
20240506 013159	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	161	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.211165745762258	0.581470380617734	1900	1748	12387	57424727.1364318	14
20240506 013703	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	117	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0885508038088603	0.78142411815613	1623	205	11113	58046247.3763118	15
20240506 013800	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	73	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.447013879034962	0.727566046275603	22	1451	12884	52093967.0164918	16
20240506 014218	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	229	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0907594889303541	0.582591013560858	520	505	12015	57996559.2203898	17
20240506 014622	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	269	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0629261028824368	0.898444271997993	737	592	14830	58789400.2998501	18
20240506 014938	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	302	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0804467039191191	0.84242597295904	710	1072	12297	60550919.0404798	19
20240506 015300	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	327	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0839340232929738	0.898688904174178	680	1897	11843	60113878.5607196	20
20240506 015648	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	588	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0807189786639066	0.823023475439809	862	1997	12284	59614566.7166417	21
20240506 015942	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	319	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0984075318182266	0.899747094354277	680	1775	13210	59211379.3103448	22
20240506 020228	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	239	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.075803304149777	0.819461196231987	884	1456	12391	60516295.3523238	23
20240506 020600	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	437	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0784515854757967	0.876665474743053	162	1395	11105	59352106.4467766	24
20240506 020914	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	305	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0795656329659211	0.899625762379525	940	1251	10894	60467745.1274363	25
20240506 021226	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	297	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0796151644695786	0.899975279322163	773	1259	11488	61568083.958021	26
20240506 021754	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	784	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0411475537789624	0.899800183555455	1696	1557	11817	58950439.2803598	27
20240506 023749	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2909	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0100249209793071	0.500245869845271	1289	1464	12070	60662683.6581709	28
20240506 025136	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2576	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0100190231469273	0.874621023420843	1103	1260	13709	60800256.3718141	29
20240506 030523	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2098	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0100083993577324	0.678865602073576	1350	804	12195	60034910.0449775	30
20240506 032513	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4806	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0100046494099458	0.720083888659316	1065	2000	13861	59864016.4917541	31
20240506 033822	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1571	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0100375241333624	0.500500387635891	2037	1257	12649	61390871.0644678	32
20240506 035844	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2808	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.010159503091967	0.533183068335728	2047	1272	14093	61081059.970015	33
20240506 041151	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1571	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0100375241333624	0.500500387635891	2037	1257	12649	61390871.0644678	34
20240506 042259	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1107	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0100934369397739	0.500772685371815	1839	953	12808	61135520.2398801	35
20240506 043154	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	251	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0258688565298563	0.500034728481404	2048	107	11296	58610770.6146927	36
20240506 043756	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	628	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0717035144752222	0.500519973487078	2043	1239	14872	58563910.0449775	37
20240506 045207	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3022	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0100105552941016	0.886101428609941	1998	1524	12828	60842836.5817091	38
20240506 051751	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4120	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0100494634862831	0.500309883363031	1900	1714	11950	60148620.6896552	39
20240506 053024	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2313	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0100205769750438	0.743532016617651	2046	1144	11790	60621184.4077961	40
20240506 055132	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2856	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0100207523587677	0.528957376057315	838	1053	11635	60133380.8095952	41
20240506 055239	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	298	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.260723623181144	0.81419102859747	9	106	13472	56714194.9025487	42
20240506 061258	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2651	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0100273994583723	0.536419822870465	2048	1199	12849	60920526.2368816	43
20240506 062738	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2739	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0100249567059147	0.882441606380145	1745	1190	12028	59922296.8515742	44
20240506 065205	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3511	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0100473804057759	0.533454259142955	2045	1209	13942	59371361.3193403	45
20240506 070157	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1577	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0100083172162248	0.594574274891958	1741	1311	11266	61949766.1169415	46
20240506 071927	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2529	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0100104036981687	0.580549086858628	1672	1361	11824	60924881.5592204	47
20240506 074112	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3073	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0100099008691996	0.539090798873324	1682	1363	11520	61136071.964018	48
20240506 074926	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1236	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0100067512062754	0.615256652618755	1701	1356	11842	61964434.7826087	49
20240506 080239	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1991	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.010042333432032	0.600812844533023	1769	1296	11195	61739857.5712144	50
20240506 081436	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2249	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0100082530571156	0.628681159979974	1691	1359	10603	61257446.7766117	51
20240506 082622	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2249	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0100082530571156	0.628681159979974	1691	1359	10603	61257446.7766117	52
20240506 083915	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2394	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.0100192572850667	0.601161251494143	1782	1295	11067	61249554.7226387	53
20240506 085803	1054	301451	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3829	1	1	1	FALSE	1	0.1	50	0.5	FALSE	300007	0.010043250329197	0.602513016439683	1771	1290	13476	58997127.4362819	54
